essencia,tema_primario,temas_secundarios,barrett_principal,barrett_adjacentes,cvf_quadrante,denison_dimensao,iso30414_categoria,capacidade_negocio,exemplos_comportamentais,kpis_recomendados,evidencias_texto,camada,cor_primaria,polaridade_cor,familia_botanica,arquetipos,chakra,aspiracional,peso_aspiracional,limitante,desgaste_flag,alias_pt
Pink Everlasting,Foco/Clareza,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima; L4 Transformação,Control (Interno/Controle de Processos),Consistency,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,rosa,rosa,,,3,,1.0,,,
Brachycome,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
White Nymph Water Lily,Foco/Clareza,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Collaborate (Interno/Agilidade Humana),Mission,Leadership,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,branco,branco,Waterlily,,5,1,1.25,,,
Pincushion Hakea,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
Golden Waitsia,Reconhecimento,,L4 Transformação,,Collaborate (Interno/Agilidade Humana),Adaptability,Culture,Engajamento,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,4,,1.0,,,
Illyarrie,Vitalidade,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima,Compete (Externo/Controle de Resultados),Consistency,Productivity,Saúde & Sustentabilidade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,,,,,3,,1.0,1,,
Rabbit Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,,,Orchidaceae,,5,1,1.25,,,
Red Leschenaultia,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,vermelho,vermelho↔verde,Leschenaultia,,2,,1.0,,,
Blue China Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,azul,amarelo↔azul,Orchidaceae,,5,1,1.25,,,
Brown Boronia,Foco/Clareza,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima,Compete (Externo/Controle de Resultados),Consistency,Well-being,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,marrom,marrom,,,3,,1.0,1,,
Catspaw,Conversas/Feedback,,L4 Transformação,,Create (Externo/Agilidade),Adaptability,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,,,Kangaroo Paw,,4,,1.0,,,
Cats Paw,Conversas/Feedback,,L4 Transformação,,Create (Externo/Agilidade),Adaptability,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,,,Kangaroo Paw,,4,,1.0,,,
Ribbon Pea,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
Blue Leschenaultia,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,azul,amarelo↔azul,Leschenaultia,,2,,1.0,,,
Yellow Leschenaultia,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,amarelo,amarelo↔azul,Leschenaultia,,2,,1.0,,,
Red Beak Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,vermelho,vermelho↔verde,Orchidaceae,,5,,1.0,1,1,
Cowslip Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,,,Orchidaceae,,5,1,1.25,,,
Donkey Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,,,Orchidaceae,,5,1,1.25,,,
Shy Blue Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,azul,amarelo↔azul,Orchidaceae,,5,1,1.25,,,
White Spider Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,branco,branco,Orchidaceae,,5,1,1.25,,,
Pink Fairy Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,rosa,rosa,Orchidaceae,,5,1,1.25,,,
Purple Nymph Water Lily,Foco/Clareza,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Collaborate (Interno/Agilidade Humana),Mission,Leadership,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,violeta,violeta,Waterlily,,5,1,1.25,,,
Fringed Mantis Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,,,Orchidaceae,,5,1,1.25,,,
Hybrid Pink Fairy Cowslip Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,rosa,rosa,Orchidaceae,,5,1,1.25,,,
Starts Spider Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,,,Orchidaceae,,5,1,1.25,,,
Dampiera,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,,,,,2,,1.0,1,,
Cowkicks,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,,,,,2,,1.0,1,,
Menzies Banksia,Vitalidade,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima,Compete (Externo/Controle de Resultados),Consistency,Culture,Saúde & Sustentabilidade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,,,Banksia,,3,,1.0,1,,
Purple Flag Flower,Outro,,L4 Transformação,,Create (Externo/Agilidade),Adaptability,Culture,Outro,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,violeta,violeta,,,4,,1.0,1,,
Wooly Banksia,Vitalidade,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima,Compete (Externo/Controle de Resultados),Consistency,Culture,Saúde & Sustentabilidade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,,,Banksia,,3,,1.0,1,,
Yellow Flag Flower,Outro,,L4 Transformação,,Create (Externo/Agilidade),Adaptability,Culture,Outro,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,amarelo,amarelo↔azul,,,4,,1.0,1,,
Candle of Life,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,,,,,2,,1.0,1,1,
Purple Enamel Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,violeta,violeta,Orchidaceae,,5,,1.0,1,1,
Giving Hands,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,,,,,2,,1.0,1,1,
Leafless Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,,,Orchidaceae,,5,,1.0,1,1,
Pink Fountain Triggerplant,Vitalidade,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima,Compete (Externo/Controle de Resultados),Consistency,Well-being,Saúde & Sustentabilidade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,rosa,rosa,Triggerplant,,3,,1.0,1,1,
Pink Trumpet Flower,Conversas/Feedback,,L5 Coesão Interna,L5 Coesão Interna,Collaborate (Interno/Agilidade Humana),Mission,Leadership,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,rosa,rosa,,,5,,1.0,1,1,
Reed Triggerplant,Vitalidade,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima,Compete (Externo/Controle de Resultados),Consistency,Well-being,Saúde & Sustentabilidade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,,,Triggerplant,,3,,1.0,1,1,
WA Smokebush,Outro,,L4 Transformação,,Create (Externo/Agilidade),Adaptability,Culture,Outro,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,,,,,4,,1.0,1,1,
Silver Princess,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,,,,,2,,1.0,1,1,
ESSENCIA_41,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_42,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_43,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_44,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_45,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_46,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_47,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_48,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_49,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_50,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_51,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_52,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_53,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_54,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_55,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_56,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_57,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_58,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_59,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_60,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_61,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_62,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_63,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_64,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_65,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_66,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_67,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_68,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_69,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_70,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_71,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_72,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_73,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_74,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_75,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_76,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_77,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_78,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_79,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_80,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_81,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_82,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_83,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_84,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_85,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_86,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_87,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
ESSENCIA_88,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
